property,document_type,expiry_date,drive_link,notes
5 Queensway Mildenhall,Gas Safety Certificate,,,
5 Queensway Mildenhall,EPC,,,
5 Queensway Mildenhall,Electrical Certificate,,,
5 Queensway Mildenhall,Buildings Insurance,,,
5 Beeches Road West Row,Gas Safety Certificate,,,
5 Beeches Road West Row,EPC,,,
5 Beeches Road West Row,Electrical Certificate,,,
5 Beeches Road West Row,Buildings Insurance,,,
22 Fleming Avenue Mildenhall,Gas Safety Certificate,,,
22 Fleming Avenue Mildenhall,EPC,,,
1 Bernards Close Mildenhall,Gas Safety Certificate,,,
1 Bernards Close Mildenhall,EPC,,,
3 Bernards Close Mildenhall,Gas Safety Certificate,,,
3 Bernards Close Mildenhall,EPC,,,
4 Bernards Close Mildenhall,Gas Safety Certificate,,,
4 Bernards Close Mildenhall,EPC,,,
1A Vinrose Lodge Mildenhall,Gas Safety Certificate,,,
1A Vinrose Lodge Mildenhall,EPC,,,
5a Beeches Road West Row,Gas Safety Certificate,,,
5a Beeches Road West Row,EPC,,,
5b Beeches Road West Row,Gas Safety Certificate,,,
5b Beeches Road West Row,EPC,,,
Ponderosa West Row,Gas Safety Certificate,,,
Ponderosa West Row,EPC,,,
St Michaels Thetford,Gas Safety Certificate,,,
St Michaels Thetford,EPC,,,
Garrod House Flat 1 Lakenheath,Gas Safety Certificate,,,
Garrod House Flat 2 Lakenheath,Gas Safety Certificate,,,
Garrod House Flat 3 Lakenheath,Gas Safety Certificate,,,
Garrod House Flat B Lakenheath,Gas Safety Certificate,,,
Sparks Farm Hurdle Drove,Gas Safety Certificate,,,
Cottage Lakenheath,Gas Safety Certificate,,,
Cottage Lakenheath,EPC,,,
Airview House West Row,Gas Safety Certificate,,,
Airview House West Row,EPC,,,
