date,lorry_id,reg,litres,cost_gbp,vat_gbp,location,card_provider
2025-05-01,L001,AB21 XYZ,180.5,278.47,46.41,Bristol,Allstar
2025-05-01,L002,CD22 ABC,165.2,254.81,42.47,Manchester,Allstar
2025-05-03,L003,EF19 DEF,172.8,266.57,44.43,Leeds,Allstar
2025-05-05,L001,AB21 XYZ,190.1,293.25,48.88,London,Allstar
2025-05-07,L005,IJ23 JKL,155.4,239.72,39.95,Birmingham,Allstar
2025-05-10,L002,CD22 ABC,178.3,275.00,45.83,Liverpool,Allstar
2025-05-12,L001,AB21 XYZ,185.6,286.29,47.72,Bristol,Allstar
2025-05-14,L003,EF19 DEF,169.4,261.32,43.55,Sheffield,Allstar
2025-05-15,L005,IJ23 JKL,162.7,250.97,41.83,Nottingham,Allstar
2025-05-18,L002,CD22 ABC,174.9,269.84,44.97,Leeds,Allstar
2025-05-20,L001,AB21 XYZ,188.2,290.33,48.39,Cardiff,Allstar
2025-05-22,L003,EF19 DEF,176.6,272.46,45.41,Bristol,Allstar
2025-05-25,L005,IJ23 JKL,158.9,245.17,40.86,London,Allstar
2025-05-27,L002,CD22 ABC,181.4,279.80,46.63,Manchester,Allstar
2025-05-29,L001,AB21 XYZ,192.3,296.64,49.44,Exeter,Allstar
