property,address,bedrooms,monthly_rent,rent_status,tenancy_end,mortgage_lender,mortgage_balance,mortgage_rate,mortgage_monthly,mortgage_type,mortgage_end,mortgage_doc_link,tenancy_doc_link,insurance_doc_link
5 Queensway Mildenhall,5 Queensway Mildenhall IP28 7JJ,3,2400,Paid,SPT,TMB,223000,,1276.03,Unknown,,https://drive.google.com/drive/folders/1-_sjvmU7He1oCaJ1sZW2WD3ObQNAGY24,https://drive.google.com/drive/folders/1KrFFeiIlYbzLO1PcXoMS89vdpVTL4sZO,
22 Fleming Avenue Mildenhall,22 Fleming Avenue Mildenhall IP28 7NF,2,600,Paid,SPT,TMW,111000,,432.67,Unknown,,https://drive.google.com/drive/folders/1f6I7pEOMU15ZLlKsIbMMEEKi6yiIoRlq,https://drive.google.com/drive/folders/16VnA6e-JTbEelqZX9JrSWooh-Tvs0-4j,
1 Bernards Close Mildenhall,1 Bernards Close Mildenhall IP28 8UN,3,2400,Paid,07/2027,NatWest,251000,,1089.09,Unknown,2027-07-01,https://drive.google.com/drive/folders/10lisp3kaTcWAs2daJJ-j-IvkqaM2fYIS,https://drive.google.com/drive/folders/1PwB_Dm5xSxn00o4f0Ph9-g9g4-WmDBT1,
3 Bernards Close Mildenhall,3 Bernards Close Mildenhall IP28 8UN,3,2400,Paid,06/2027,Barclays,342000,,1380.27,Unknown,2027-06-01,https://drive.google.com/drive/folders/18aR5csF7CONZIMyq5symVUWknyuM9UpK,https://drive.google.com/drive/folders/1qrxGdarvrRumzhp08zw9KlHh9e0XKka2,
4 Bernards Close Mildenhall,4 Bernards Close Mildenhall IP28 8UN,3,2400,Paid,08/2025,NatWest,340000,,1475.50,Unknown,2025-08-01,https://drive.google.com/drive/folders/1wnmmlfSYFhf0ZJK3I3KdG6UAfb1_fcZ_,https://drive.google.com/drive/folders/1iU0jR84iYH_8-fLy5mxkH9Je6UGdjN1V,
1A Vinrose Lodge Mildenhall,1A Vinrose Lodge Mildenhall IP28 7JJ,2,1200,Paid,02/2026,None,0,,0,Owned,,https://drive.google.com/drive/folders/1yHxVhePhNCQ85DHasVIfdPPg31jfTFad,https://drive.google.com/drive/folders/1jzXHblEtnHGZ-thk4bBqXe1G6pNzXUMw,
5a Beeches Road West Row,5a Beeches Road West Row IP28 8NP,2,1200,Paid,03/2026,Handelsbanken,80000,,745.78,Unknown,2026-03-01,https://drive.google.com/drive/folders/1pulw_GpJfB7zeOpLEj-Iu94NP7yokKF0,https://drive.google.com/drive/folders/19WkdAih0vDnQmuvwNKUGy88tJiP9NDIC,
5b Beeches Road West Row,5b Beeches Road West Row IP28 8NP,2,1200,Paid,11/2025,Handelsbanken,80000,,745.78,Unknown,2025-11-01,https://drive.google.com/drive/folders/1q2qn4zBlRsrvHKOzl4nSHnd5drvVyjoc,https://drive.google.com/drive/folders/1btifjdXhuPcPhq1BotsOYxNTzeJUlC4q,
Ponderosa West Row,Ponderosa West Row IP29 9RF,4,1650,Paid,SPT,TSB,245000,,510.22,Unknown,,https://drive.google.com/drive/folders/1lpVKCBnDacA6Bp2XfZdCf7JUy0x9PWCv,https://drive.google.com/drive/folders/1Lb9tqEFqolxa2iVNopVFGw0H9Du-twvU,
Ponderosa Annex West Row,Ponderosa Annex West Row IP29 9RF,1,1600,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/1GS_sOEtpQPLA63e5hLZaRQNV6sDq2LCJ,https://drive.google.com/drive/folders/1OeNS2Xajz2FyyreRHV9KHunzmnPeuBU6,
St Michaels Thetford,St Michaels Thetford IP24 3EG,2,550,Paid,SPT,NatWest,118000,,516.40,Unknown,,https://drive.google.com/drive/folders/1Zn_kvWBTHc9_U96oIk5dYGBKM-t6YWWr,https://drive.google.com/drive/folders/1wmuMVSG3oXqZB2k6Xq634w_cewh58dvy,
Garrod House Flat 1 Lakenheath,Garrod House Flat 1 Lakenheath IP27 9EW,2,1200,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/1DlntW5OaDIpUpsXZS4no8rqGMSHQcQ1M,https://drive.google.com/drive/folders/11pPH2AlR5L3V2E7IyD1muhlcnlcKHgh-,
Garrod House Flat 2 Lakenheath,Garrod House Flat 2 Lakenheath IP27 9EW,2,1200,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/1VNlNG2wP68dKjVbcyum9cFMcy5O9VEg2,https://drive.google.com/drive/folders/1fRQ__B684mqisSgcvL57v-i1kre7bZVP,
Garrod House Flat 3 Lakenheath,Garrod House Flat 3 Lakenheath IP27 9EW,2,1200,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/1c87_gGhbdhOVOxXFMMg2o3QhxxcPjeeR,https://drive.google.com/drive/folders/11SeZErnJEtD7JpdaxgNiieu4J9NBmpzm,
Garrod House Flat B Lakenheath,Garrod House Flat B Lakenheath IP27 9EW,2,1100,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/1aOfDtpe5WsmAIZ544-VC0qId0L4necPm,https://drive.google.com/drive/folders/1Kowb3J8ktHypzOpXPak_0hqHhj7KffcS,
Sparks Farm Hurdle Drove,Sparks Farm Hurdle Drove,4,2400,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/126VejwexbNvV7KTgfRVz4Bb0OfoiIS90,https://drive.google.com/drive/folders/1EzGoDw0jETmBob1njve1fqP-yT3Ygh7B,
Cottage Lakenheath,Cottage Lakenheath,2,1200,Paid,03/2026,Private Loan,95000,,350.00,Private,2026-03-01,https://drive.google.com/drive/folders/15gtpEwie4zpW5gUwBoa3tuTAZn-uCJci,https://drive.google.com/drive/folders/13S9upmfuVyUOUkS92HSXlsKXbBDEDdHw,
Airview House West Row,Airview House West Row,4,1250,Paid,05/2027,None,0,,1333,Owned,2027-05-01,https://drive.google.com/drive/folders/1yvCPZLz0g28FOVfzEgj19tnF31J4xJBE,https://drive.google.com/drive/folders/13oj5XNyMqymApOcDLPO3J911DS6yz4IF,
Airview Annex West Row,Airview Annex West Row,2,1600,Paid,SPT,None,0,,0,Owned,,https://drive.google.com/drive/folders/1qRKh1anl49wE1HhpWC30pqt0xgCuKJCm,https://drive.google.com/drive/folders/1jDelOsReS6XMy9Tcx9KlprEswvLXxciI,
