task,done,tag,priority,added_by,date_added
Chase squatters legal action at The Shed,False,Urgent,high,James,2026-06-05
Confirm mortgage rates for all properties,False,Finance,high,James,2026-06-05
Confirm Ponderosa Annex mortgage details,False,Finance,medium,James,2026-06-05
Clarify Airview £1333 monthly payment,False,Finance,medium,James,2026-06-05
Get lorry registration numbers from Vinnie,False,Lorries,medium,James,2026-06-05
Pay K&M Tyres outstanding balance £507.42,False,Finance,high,James,2026-06-05
Set up Google Drive folder structure,False,Admin,medium,James,2026-06-05
Get tenant details for all properties,False,Property,medium,James,2026-06-05
Set up Tailscale on office computer,False,Admin,low,James,2026-06-05
Tate Fleet fuel invoice due 05 June 2026,False,Finance,high,James,2026-06-05
